"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"128","1","Sam Dekker",24.5,"WAS","Forward",578,45,"51.60%",69,"66%",0,"8%",55,"40%",3,"20%",0,"38%",0,"21%",4,"27%","2018-2019",2019
"129","1","Sam Dekker",24.5,"CLE","Big",155,11,"48.90%",21,"59%",1,"0%",23,"25%",1,"11%",0,"50%",0,"33%",0,"38%","2018-2019",2019
"130","1","Matthew Dellavedova",28.1,"CLE","Wing",697,65,"52.60%",65,"63%",86,"46%",94,"55%",91,"47%",0,"14%",70,"37%",51,"35%","2018-2019",2019
"131","1","Luol Deng",33.5,"MIN","Forward",350,94,"60.60%",83,"72%",89,"50%",55,"40%",86,"46%",87,"45%",20,"31%",79,"39%","2018-2019",2019
"132","1","Donte DiVincenzo",21.7,"MIL","Wing",390,43,"50.00%",96,"79%",21,"25%",1,"0%",4,"14%",9,"29%",9,"27%",9,"27%","2018-2019",2019
"133","1","Cheick Diallo",22.1,"NOP","Big",850,91,"62.80%",83,"71%",98,"57%",74,"41%",96,"53%",0,"0%",0,"100%",0,"33%","2018-2019",2019
"134","1","Hamidou Diallo",20.3,"OKC","Wing",484,57,"51.40%",52,"60%",40,"33%",70,"43%",41,"36%",2,"22%",0,"0%",2,"19%","2018-2019",2019
"135","1","Gorgui Dieng",28.8,"MIN","Big",961,39,"52.90%",64,"67%",72,"45%",84,"46%",83,"46%",64,"40%",0,"20%",54,"36%","2018-2019",2019
"136","1","Spencer Dinwiddie",25.6,"BKN","Combo",1913,76,"52.30%",92,"64%",36,"36%",46,"39%",41,"37%",53,"41%",44,"33%",49,"34%","2018-2019",2019
"137","1","Luka Doncic",19.7,"DAL","Wing",2327,51,"50.60%",58,"62%",71,"43%",39,"34%",65,"41%",90,"50%",37,"33%",36,"34%","2018-2019",2019
"138","1","Tyler Dorsey",22.7,"ATL","Combo",195,3,"39.50%",47,"57%",0,"0%",7,"20%",0,"8%",0,"0%",77,"37%",7,"26%","2018-2019",2019
"139","1","Tyler Dorsey",22.7,"MEM","Wing",432,63,"52.40%",30,"56%",89,"48%",80,"46%",89,"47%",63,"42%",48,"34%",55,"36%","2018-2019",2019
"140","1","Damyean Dotson",24.5,"NYK","Wing",1957,48,"50.10%",34,"56%",18,"22%",70,"43%",52,"38%",79,"45%",57,"35%",68,"37%","2018-2019",2019
"141","1","Goran Dragic",32.5,"MIA","Point",990,35,"47.90%",41,"56%",39,"36%",7,"31%",17,"34%",12,"27%",67,"37%",50,"35%","2018-2019",2019
"142","1","Andre Drummond",25.2,"DET","Big",2640,46,"53.90%",30,"62%",34,"36%",34,"31%",34,"36%",0,"14%",1,"13%",2,"13%","2018-2019",2019
"143","1","Jared Dudley",33.3,"BKN","Forward",1199,66,"54.00%",37,"60%",42,"36%",87,"53%",85,"45%",83,"42%",45,"34%",62,"36%","2018-2019",2019
"144","1","Kris Dunn",24.6,"CHI","Combo",1389,15,"45.80%",24,"53%",53,"38%",53,"41%",53,"39%",51,"40%",53,"34%",54,"35%","2018-2019",2019
"145","1","Kevin Durant",30.1,"GSW","Forward",2698,87,"57.20%",87,"73%",97,"52%",92,"54%",100,"53%",6,"23%",67,"37%",57,"36%","2018-2019",2019
"146","1","Henry Ellenson",21.8,"NYK","Forward",176,6,"43.20%",1,"25%",30,"33%",15,"17%",14,"29%",0,"46%",0,"38%",90,"42%","2018-2019",2019
"147","1","Wayne Ellington",30.9,"MIA","Wing",508,55,"51.10%",21,"53%",28,"29%",6,"17%",9,"23%",64,"42%",34,"33%",52,"36%","2018-2019",2019
"148","1","Wayne Ellington",30.9,"DET","Wing",760,90,"57.00%",94,"77%",87,"46%",65,"42%",80,"44%",35,"36%",77,"38%",67,"37%","2018-2019",2019
